id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
35936087,鹊刀门传奇,,https://dou.img.lithub.cc/movie/35936087.jpg,2023-08-18(中国大陆),https://movie.douban.com/subject/35936087/,8.2,"剧情,喜剧,动作",4,有的看就看，有的乐就乐。,,2023-09-13 16:47:33,2023 / 中国大陆 / 剧情 喜剧 动作 武侠 古装 / 唐铁军 吴迪 / 赵本山 宋小宝
35660795,消失的她,,https://dou.img.lithub.cc/movie/35660795.jpg,2023-06-22(中国大陆),https://movie.douban.com/subject/35660795/,6.2,"悬疑,犯罪",3,这部片子应该可以作为「漏洞百出」的定义了。朱一龙的青筋爆气，爆是爆了，力道不对啊，当然，倪妮还是我喜欢的那个倪妮。看人就够了，看什么戏。,,2023-09-08 13:32:33,2022 / 中国大陆 / 悬疑 犯罪 / 崔睿 刘翔 / 朱一龙 倪妮
35267224,孤注一掷,,https://dou.img.lithub.cc/movie/35267224.jpg,2023-08-08(中国大陆),https://movie.douban.com/subject/35267224/,6.8,"剧情,犯罪",3,,,2023-08-23 23:29:41,2023 / 中国大陆 / 剧情 犯罪 / 申奥 / 张艺兴 金晨
10604086,封神第一部：朝歌风云,,https://dou.img.lithub.cc/movie/10604086.jpg,2023-07-20(中国大陆),https://movie.douban.com/subject/10604086/,7.7,"动作,战争,奇幻",4,,,2023-08-23 23:29:14,2023 / 中国大陆 / 动作 战争 奇幻 古装 / 乌尔善 / 费翔 李雪健
35901878,疯狂元素城,,https://dou.img.lithub.cc/movie/35901878.jpg,2023-06-16(美国/中国大陆),https://movie.douban.com/subject/35901878/,7.1,"剧情,喜剧,科幻",4,嘟嘟进电影院看的第一部电影，值得纪念一下。,,2023-07-02 10:36:44,2023 / 美国 / 剧情 喜剧 科幻 动画 奇幻 冒险 / 彼得·孙 / 莉娅·刘易斯 马莫多·阿西
35738421,气垫传奇,,https://dou.img.lithub.cc/movie/35738421.jpg,2023-03-18(西南偏南电影节),https://movie.douban.com/subject/35738421/,7.5,"剧情,传记,运动",4,还是这种标准的工业制作，好莱坞流水线作品，好看一点点。而且有我太爱的两个演员了。,,2023-05-26 00:08:38,2023 / 美国 / 剧情 传记 运动 / 本·阿弗莱克 / 马特·达蒙 杰森·贝特曼
26258779,银河护卫队3,,https://dou.img.lithub.cc/movie/26258779.jpg,2023-05-05(美国/中国大陆),https://movie.douban.com/subject/26258779/,8.4,"喜剧,动作,科幻",4,还是要谈爱的。,,2023-05-12 00:27:38,2023 / 美国 / 喜剧 动作 科幻 惊悚 冒险 / 詹姆斯·古恩 / 克里斯·帕拉特 佐伊·索尔达娜
36200057,克里斯·洛克：选择性愤怒,,https://dou.img.lithub.cc/movie/36200057.jpg,2023-03-04(美国网络),https://movie.douban.com/subject/36200057/,7.7,"喜剧,脱口秀",4,没有想象中的 High 啊，但确实算是站着把这 2000 万给赚了，最喜欢唠家常那部分，女儿和妈妈的段落，不光是好笑，还是感动到我了。,,2023-05-07 21:58:15,2023 / 美国 / 喜剧 脱口秀 / 乔尔·加兰 / 克里斯·洛克
34941536,宇宙探索编辑部,,https://dou.img.lithub.cc/movie/34941536.jpg,2023-04-01(中国大陆),https://movie.douban.com/subject/34941536/,8,"喜剧,科幻",4,师徒几人西行寻找生命的解释，这壳套的不错。,,2023-04-12 13:53:06,2021 / 中国大陆 / 喜剧 科幻 / 孔大山 / 杨皓宇 艾丽娅
35457272,保你平安,,https://dou.img.lithub.cc/movie/35457272.jpg,2023-03-10(中国大陆),https://movie.douban.com/subject/35457272/,7.6,"剧情,喜剧",4,一直在进步，一直在努力。但是网大电影的感觉还是太重了，副线不够丰满。大鹏值得加一星。,,2023-03-09 07:37:22,2022 / 中国大陆 / 剧情 喜剧 / 大鹏 / 大鹏 李雪琴
35766491,满江红,,https://dou.img.lithub.cc/movie/35766491.jpg,2023-01-22(中国大陆),https://movie.douban.com/subject/35766491/,7,"剧情,喜剧,悬疑",4,这套娃是我的菜，后面感觉是导演玩起来了。这故事，还不能想太多呢。,,2023-01-22 23:20:56,2023 / 中国大陆 / 剧情 喜剧 悬疑 古装 / 张艺谋 / 沈腾 易烊千玺
3042261,西线无战事,,https://dou.img.lithub.cc/movie/3042261.jpg,2022-09-12(多伦多电影节),https://movie.douban.com/subject/3042261/,8.5,"剧情,动作,战争",3,给不到四星了，几个镜头和音乐，特别毁感觉。,,2023-01-07 23:40:48,2022 / 德国 美国 英国 / 剧情 动作 战争 / 爱德华·贝尔格 / 费利克斯·卡默雷尔 阿尔布雷希特·舒赫
35503125,还是觉得你最好,,https://dou.img.lithub.cc/movie/35503125.jpg,2022-09-09(中国大陆),https://movie.douban.com/subject/35503125/,7.3,"喜剧,爱情",3,挺灵动的。,,2023-01-04 00:31:37,2022 / 中国香港 / 喜剧 爱情 / 陈咏燊 / 黄子华 邓丽欣
